_source.data.slide_name,_source.data.cluster_name
JR-20-2746-A7-1_H01BBB25P-50329,CS002
JR-20-2623-A8-1_H01BBB23P-49789,CS002
JR-20-2658-A4-1_H01BBB16P-31744,CS001
JR-20-2903-B2-3_H01BBB16P-33214,CS001
JR-20-2826-G7-1_H01DBB36P-13052,CS004
JR-20-2784-B6-2_H01BBB20P-32044,CS001
JR-20-2908-B3-2_H01BBB16P-33155,CS001
JR-20-2903-B2-2_H01BBB16P-33215,CS001
JR-20-2963-B4-2_H01DBB36P-13954,CS004
JR-20-2741-B22-1_H01BBB25P-50391,CS002
JR-20-2858-E6-2_H01DBB34P-13204,CS004
JR-20-2695-A1-2_H01BBB18P-31836,CS001
JR-20-2656-D2-2_H01BBB16P-31776,CS001
JR-20-2908-B2-2_H01BBB16P-33156,CS001
JR-20-3033-A2-6_H01DBB36P-14436,CS004
JR-20-2858-B2-2_H01DBB34P-13235,CS004
JR-20-2842-A8-1_H01BBB16P-32797,CS001
JR-20-2904-B10-1_H01BBB16P-33188,CS001
JR-20-2746-A3-1_H01BBB25P-50333,CS002
JR-20-2903-B1-2_H01BBB16P-33218,CS001
JR-20-2784-B1-2_H01BBB20P-32049,CS001
JR-20-2690-A1-4_H01BBB16P-31719,CS001
JR-20-2746-A2-1_H01BBB25P-50334,CS002
JR-20-2746-A1-1_H01BBB25P-50335,CS002
JR-20-2858-E2-1_H01DBB34P-13208,CS004
JR-20-2691-A2-2_H01BBB16P-31690,CS001
JR-20-2669-C9-1_H01BBB20P-31661,CS001
JR-20-2690-A1-2_H01BBB16P-31721,CS001
JR-20-2768-A1-2_H01BBB22P-31991,CS001
JR-20-2904-B7-1_H01BBB16P-33191,CS001
JR-20-2664-C7-2_H01BBB18P-31871,CS001
JR-20-2904-B6-1_H01BBB16P-33192,CS001
JR-20-2648-B2-2_H01BBB22P-31542,CS001
JR-20-2847-D7-4_H01BBB20P-32562,CS001
JR-20-2908-D22-1_H01BBB16P-33132,CS001
JR-20-2847-D7-3_H01BBB20P-32563,CS001
JR-20-2904-B5-1_H01BBB16P-33193,CS001
JR-20-2747-A1-1_H01BBB25P-50309,CS002
JR-20-2704-B1-5_H01BBB25P-49859,CS002
JR-20-2686-A5-2_H01BBB20P-31575,CS001
JR-20-2727-A17-1_H01BBB23P-50281,CS002
JR-20-2658-A22-1_H01BBB16P-31246,CS001
JR-20-2743-B19-1_H01BBB25P-50342,CS002
JR-20-2697-A4-2_H01BBB23P-49773,CS002
JR-20-2727-A15-1_H01BBB23P-50283,CS002
JR-20-2727-A14-1_H01BBB23P-50284,CS002
JR-20-2904-A8-1_H01BBB16P-33200,CS001
JR-20-2726-E16-2_H01JBA21P-50076,CS002
JR-20-2669-B2-3_H01BBB20P-31671,CS001
JR-20-2879-B23-2_H01JBA21P-51975,CS002
JR-20-2669-B2-2_H01BBB20P-31672,CS001
JR-20-2854-E2-2_H01DBB34P-13282,CS004
JR-20-2669-B1-4_H01BBB20P-31674,CS001
JR-20-2743-B12-1_H01BBB25P-50349,CS002
JR-20-2743-B11-1_H01BBB25P-50350,CS002
JR-20-2757-E29-1_H01DBB34P-12263,CS004
JR-20-2925-C4-2_H01BBB20P-32935,CS001
JR-20-2470-C12-2_H01JBA21P-49270,CS002
JR-20-2772-A1-4_H01BBB16P-32396,CS001
JR-20-2828-A3-1_H01DBB36P-13015,CS004
JR-20-2696-A3-2_H01BBB23P-49782,CS002
JR-20-2743-B8-1_H01BBB25P-50353,CS002
JR-20-2736-F4-2_H01BBB24P-49963,CS002
JR-20-2783-B2-3_H01BBB20P-32100,CS001
JR-20-2904-B17-1_H01BBB16P-33181,CS001
JR-20-2963-B8-1_H01DBB36P-13950,CS004
JR-20-2674-A4-2_H01DBB34P-11879,CS004
JR-20-2623-A11-1_H01BBB23P-49786,CS002
JR-20-2718-G2-1_H01BBB24P-49666,CS002
JR-20-2658-A6-1_H01BBB16P-31742,CS001
JR-20-2842-A12-1_H01BBB16P-32793,CS001
