slide_name,total class_1,mis class_1,total class_2,mis class_2,total class_3,mis class_3,total class_4,mis class_4
H01FBA08R_3209,502,6,952,28,685,48,711,75
H01FBA08R_3210,40,0,40,1,95,3,14,4
H01FBA08R_3211,53,0,561,7,398,18,694,33
H01FBA08R_3212,229,1,46,0,284,9,286,42
H01FBA08R_3213,600,4,284,4,256,8,2304,109
H01FBA08R_3207,80,1,183,4,169,5,291,7
H01FBA08R_3220,660,4,633,20,210,11,384,36
H01FBA08R_3217,70,1,469,11,378,19,693,40
H01FBA08R_3218,229,1,434,3,852,10,1205,40
H01FBA08R_3219,4,0,288,2,1240,30,749,20
H01FBA08R_3243,318,2,518,7,463,20,1281,55
H01FBA08R_3247,354,2,461,11,428,15,736,30
H01FBA08R_3245,212,2,121,3,195,8,7,1
